,contractor_id,plan_name,primary_trade,ladder_use,scaffolds,confined_space,aerial_lift,cpr_training,excavation,fall_protection,investigation_prgm,fatality_2017,fatality_2018,restricted_day_17,restricted_day_18,lost_days_17,lost_days_18,recordable_17,recordable_18,work_hours_17,work_hours_18,emr_17,emr_18,flame_spark_activity,hoisting_rigging_eq,live_electrical_component,electrical_component,safety_health_program,safety_manager,emp_involvement_plan,emp_performance_evalution,osha_citation,fatality_2019,restricted_day_19,lost_days_19,recordable_19,dart_17,dart_18,dart_19,days_away_cases_17,days_away_cases_18,days_away_cases_19
16350,16351,0,227,3,1,1,1,1,3,2,2,0,0,0,0,0,0,0,0,8320,8320,1,1,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0
16351,16352,1,227,3,3,3,3,3,3,2,2,0,0,84,84,0,0,1,1,186693,205407,0,0,3,3,3,3,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0
16352,16353,2,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,4500,4500,1,1,1,1,3,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16353,16354,1,118,3,3,1,1,3,1,2,2,0,0,0,0,0,0,0,0,25610,27768,0,0,1,1,3,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16354,16355,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,250,500,0,0,3,3,1,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16355,16356,1,227,3,3,1,1,3,1,2,2,0,0,0,0,0,0,0,0,14187,12919,0,0,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16356,16357,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16357,16358,1,227,3,3,3,3,1,1,2,2,0,0,0,0,0,0,0,0,17172,16354,0,0,3,3,1,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16358,16359,1,227,3,3,3,3,3,3,2,2,0,0,34,34,3,13,10,6,520223,540998,0,0,3,3,1,3,2,1,2,2,1,0,111,12,8,5,5,5,0,0,0
16359,16360,1,227,3,1,3,1,3,3,2,2,0,0,0,0,0,0,0,0,13694,17503,0,0,3,1,3,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16360,16361,1,227,3,1,3,3,1,1,2,2,0,0,26,26,41,113,8,7,657221,996943,0,0,1,1,3,3,2,2,2,2,1,0,437,187,15,3,2,10,0,0,0
16361,16362,1,235,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,10492,11028,0,0,1,3,1,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0
16362,16363,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,52201,63762,0,0,3,3,3,3,2,1,2,2,2,0,0,47,2,0,0,1,0,0,0
16363,16364,1,227,3,1,1,3,3,1,2,2,0,0,0,0,0,0,0,0,2500,8900,1,1,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0
16364,16365,1,65,3,3,3,3,3,3,2,2,0,0,32,32,0,0,2,2,175233,178791,0,0,3,3,1,3,2,2,2,2,1,0,42,0,7,0,0,4,0,0,0
16365,16366,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366,16367,1,227,3,3,1,3,1,3,2,2,0,0,0,0,0,0,0,0,19158,39955,0,0,3,3,1,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
16367,16368,0,227,3,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,10800,10800,0,0,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
16368,16369,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16369,16370,1,74,3,3,3,3,3,1,2,2,0,0,0,0,158,65,0,0,1344116,1413286,0,0,3,3,3,3,2,2,2,2,0,0,0,77,0,0,0,0,13,11,10
16370,16371,1,227,3,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,102320,104877,0,0,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
16371,16372,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146383,158092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16372,16373,0,227,3,3,3,3,3,1,2,1,0,0,0,0,0,0,0,0,14000,12000,0,0,1,3,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
